,ontology,failed,failed_repair,steps,time,calls,iic_mcs,iic_remove,inf_mcs,inf_weakening,inf_remove
164,ahso,False,False,5.0,68740.0,10661.0,0.25,0.25,981.0,837.0,981.0
165,ahso,False,False,1.0,2411.0,2216.0,0.1201923076923077,1.0,871.0,713.0,680.0
166,ahso,False,False,2.0,2761.0,4253.0,0.045454545454545456,0.03353057199211045,917.0,517.0,990.0
167,ahso,False,False,1.0,1716.0,3899.0,0.5245901639344263,0.5245901639344263,597.0,600.0,597.0
168,ahso,False,False,9.0,19733.0,13950.0,0.6424682395644283,0.0,726.0,883.0,899.0
169,ahso,False,False,3.0,4720.0,4721.0,0.861878453038674,1.0,637.0,768.0,638.0
170,ahso,False,False,1.0,22268.0,3275.0,1.0,0.06779661016949153,538.0,556.0,1219.0
171,ahso,False,False,1.0,4845.0,2437.0,0.8712522045855379,0.10596026490066225,496.0,917.0,1036.0
172,ahso,False,False,3.0,4120.0,7187.0,0.7078651685393258,0.7078651685393258,599.0,673.0,599.0
173,ahso,False,False,1.0,1367.0,2422.0,0.8864142538975501,0.8864142538975501,558.0,905.0,558.0
174,ahso,False,False,1.0,82601.0,4724.0,0.0,0.5,575.0,519.0,519.0
175,ahso,False,False,2.0,2360.0,4010.0,0.5,0.38011695906432746,514.0,514.0,555.0
176,ahso,False,False,1.0,2013.0,3740.0,0.41379310344827586,0.3424124513618677,667.0,637.0,718.0
177,ahso,False,False,2.0,2477.0,3701.0,0.38235294117647056,1.0,885.0,861.0,840.0
178,ahso,False,False,2.0,9454.0,4420.0,1.0,0.73,506.0,543.0,497.0
179,ahso,False,False,1.0,6158.0,4710.0,0.39650872817955113,0.5,583.0,500.0,500.0
180,ahso,False,False,1.0,5014.0,5719.0,0.9661016949152542,0.9661016949152542,495.0,550.0,495.0
181,ahso,False,False,1.0,4123.0,5083.0,0.28448275862068967,1.0,558.0,508.0,450.0
182,ahso,False,False,1.0,2131.0,3018.0,0.6134122287968442,0.5,729.0,844.0,844.0
183,ahso,False,False,2.0,2503.0,5274.0,1.0,1.0,611.0,613.0,611.0
184,ahso,False,False,1.0,2917.0,3979.0,0.1407766990291262,0.5,603.0,455.0,455.0
185,ahso,False,False,4.0,4432.0,6985.0,0.30158730158730157,0.2897196261682243,511.0,461.0,506.0
186,ahso,False,False,1.0,1332.0,2098.0,0.8230088495575221,0.7087378640776699,613.0,832.0,660.0
187,ahso,False,False,1.0,1640.0,3760.0,0.275,0.275,453.0,399.0,453.0
188,ahso,False,False,1.0,5906.0,3847.0,0.23703703703703705,0.23703703703703705,799.0,586.0,799.0
189,ahso,False,False,2.0,9490.0,4703.0,0.46116504854368934,0.46116504854368934,698.0,682.0,698.0
190,ahso,False,False,1.0,1222.0,2520.0,0.6774193548387096,0.5,516.0,549.0,549.0
191,ahso,False,False,1.0,7547.0,4171.0,0.37572254335260113,0.5,722.0,679.0,679.0
192,ahso,False,False,1.0,14805.0,2727.0,0.5,0.5,690.0,690.0,690.0
193,ahso,False,False,1.0,2291.0,2216.0,0.3404255319148936,0.5,1063.0,1003.0,1003.0
194,ahso,False,False,1.0,40953.0,2663.0,0.843501326259947,0.843501326259947,484.0,1002.0,484.0
195,ahso,False,False,1.0,1196.0,2424.0,0.10727969348659004,0.5,590.0,385.0,385.0
196,ahso,False,False,2.0,13157.0,3981.0,0.33575317604355714,0.7340425531914894,858.0,677.0,633.0
197,ahso,False,False,7.0,10714.0,10524.0,0.6590909090909091,0.5,1035.0,1063.0,1063.0
198,ahso,False,False,1.0,2845.0,4944.0,0.21768707482993196,0.0,838.0,755.0,829.0
199,ahso,False,False,2.0,5629.0,3797.0,0.17692307692307693,0.0,980.0,896.0,980.0
200,ahso,False,False,1.0,1379.0,2387.0,1.0,0.09411764705882353,649.0,712.0,1126.0
201,ahso,True,True,,,,,,,,
202,ahso,True,False,,,,,,,,
203,ahso,True,False,,,,,,,,
204,ahso,True,True,,,,,,,,
205,ahso,True,False,,,,,,,,
206,ahso,True,False,,,,,,,,
207,ahso,True,False,,,,,,,,
208,ahso,True,True,,,,,,,,
209,ahso,True,False,,,,,,,,
210,ahso,True,False,,,,,,,,
211,ahso,True,True,,,,,,,,
212,ahso,True,True,,,,,,,,
213,ahso,True,False,,,,,,,,
214,ahso,True,False,,,,,,,,
215,ahso,True,False,,,,,,,,
216,ahso,True,True,,,,,,,,
217,ahso,True,False,,,,,,,,
218,ahso,True,False,,,,,,,,
219,ahso,True,True,,,,,,,,
220,ahso,True,False,,,,,,,,
221,ahso,True,False,,,,,,,,
222,ahso,True,False,,,,,,,,
223,ahso,True,False,,,,,,,,
224,ahso,True,False,,,,,,,,
225,ahso,True,False,,,,,,,,
226,ahso,True,True,,,,,,,,
227,ahso,True,True,,,,,,,,
228,ahso,True,True,,,,,,,,
229,ahso,True,False,,,,,,,,
230,ahso,True,False,,,,,,,,
231,ahso,True,True,,,,,,,,
232,ahso,True,False,,,,,,,,
